species_size,district,age,commute,public_service,weekend,income,stress,wellbeing,complaint,transport,snacks_purchased
large,Downtown,18,14.3,0,1,111.09,10.7,0.06,1,Transit,1
large,Rainforest,43,62.9,0,0,30.54,69.2,0,1,Transit,2
small,Sahara Square,42,33,1,0,134.31,32.6,0,1,Transit,2
small,Tundratown,35,13,1,1,102.45,17,0,1,Transit,1
small,Tundratown,20,45.3,1,0,103.87,51.5,0,1,Transit,1
large,Tundratown,39,22.9,0,1,113.16,16.6,0,1,Transit,31
medium,Downtown,48,5.5,0,0,94.24,4.6,0.19,1,Walk,25
small,Downtown,55,17.8,0,1,120.51,4.4,0.49,1,Walk,63
small,Downtown,18,9.7,1,1,79.35,4.2,0.44,1,Personal,8
small,Downtown,43,15.1,0,0,79.43,7.5,0.03,1,Personal,9
large,Tundratown,44,42.3,0,0,42.9,53,0,1,Transit,0
small,Downtown,27,14.5,0,0,97.05,8.1,0.16,1,Fly,16
medium,Tundratown,39,19,0,0,107.54,13.8,0.04,1,Transit,3
medium,Sahara Square,38,6.3,0,0,91.6,10.3,0.06,1,Transit,0
medium,Downtown,30,26,0,0,100.72,12.3,0.02,1,Transit,2
small,Sahara Square,40,32.4,0,0,78.04,27.6,0,1,Transit,8
medium,Sahara Square,31,52.4,0,0,67.52,86.1,0,1,Transit,0
small,Downtown,29,39.7,0,0,85.13,23.8,0,1,Transit,0
medium,Rainforest,47,8.5,0,1,106.55,6.6,0.33,1,Walk,2
medium,Downtown,34,16.2,0,0,68.59,20.5,0,1,Transit,6
small,Tundratown,48,16.7,0,0,96.7,5.8,0.28,1,Transit,6
medium,Sahara Square,56,15.3,0,0,63.45,11.2,0.12,1,Transit,43
medium,Tundratown,41,28.7,0,1,102.22,5.9,0.28,1,Transit,19
medium,Downtown,18,33.3,0,1,62.58,26.6,0,1,Transit,2
medium,Sahara Square,38,11.2,0,0,105.71,13.7,0,1,Transit,6
small,Tundratown,38,5,0,0,93.91,9.6,0.17,1,Transit,3
medium,Downtown,49,60.4,0,0,61.27,74.9,0,1,Transit,0
large,Tundratown,34,27.1,0,0,69.56,16,0,1,Transit,2
large,Tundratown,36,13.1,0,0,93.12,5.3,0.23,1,Transit,10
small,Rainforest,19,31,0,0,97.92,23.7,0,1,Transit,15
medium,Downtown,29,42.9,0,1,92.03,20.3,0,1,Transit,7
large,Sahara Square,19,45.3,0,0,68.92,104.9,0,1,Transit,0
small,Tundratown,49,29.2,0,1,79.16,20,0,1,Transit,26
medium,Rainforest,20,23.3,1,0,60.07,11.5,0.01,1,Personal,4
medium,Rainforest,19,13.3,0,0,104.34,7.9,0.1,1,Transit,5
medium,Downtown,35,23.7,0,0,113.75,9.4,0.02,1,Personal,24
large,Rainforest,18,24.5,0,1,60.56,20.4,0,1,Transit,1
medium,Rainforest,52,11.5,0,0,97.71,4.9,0.1,1,Transit,2
small,Downtown,33,14.1,0,0,100.06,15.5,0,1,Transit,18
medium,Tundratown,43,24.4,0,1,92.11,25.3,0,1,Personal,12
medium,Rainforest,47,41.4,0,0,66.15,20.9,0,1,Transit,13
medium,Tundratown,35,30.1,0,0,98.03,13.1,0.02,1,Walk,0
medium,Downtown,23,20.2,1,0,93.82,28.1,0,1,Transit,4
medium,Tundratown,35,22.3,0,0,96.71,12.3,0,1,Transit,4
large,Tundratown,26,12.7,1,0,87.25,8.5,0.04,1,Transit,0
small,Sahara Square,47,7.5,0,0,95.11,6.8,0.12,1,Walk,14
medium,Rainforest,61,23.2,0,0,76.63,21.7,0,1,Transit,1
small,Rainforest,36,44.7,0,0,92.4,68.8,0,1,Transit,0
large,Rainforest,34,62,0,1,101.32,122.8,0,1,Transit,0
small,Rainforest,18,28.9,1,1,97.47,18.3,0,1,Transit,0
medium,Tundratown,30,14.2,1,0,83.93,14.6,0,1,Fly,4
small,Downtown,25,36.1,0,0,83.15,44.6,0,1,Fly,0
small,Rainforest,18,17.8,0,0,111.48,14.6,0,1,Transit,1
medium,Downtown,33,50.7,0,0,41.16,50.8,0,1,Transit,2
small,Tundratown,39,27.2,0,1,99.31,9.3,0.21,1,Transit,8
small,Sahara Square,75,39,1,0,90.69,23.4,0,1,Transit,11
medium,Rainforest,18,22.7,0,0,87.12,18.4,0,1,Transit,3
medium,Downtown,26,28.2,0,1,84.4,18.2,0,1,Transit,2
small,Sahara Square,41,41.3,1,0,87.05,105.9,0,1,Transit,0
small,Tundratown,18,26.9,0,0,107.57,24.7,0,1,Transit,0
small,Tundratown,39,6.9,1,1,109.15,6.2,0.19,1,Personal,25
small,Sahara Square,38,26,0,0,90.92,11.7,0.04,1,Transit,4
medium,Rainforest,27,16.9,0,0,89.04,16,0,1,Fly,0
medium,Sahara Square,24,0.5,0,1,123.93,4.6,0.5,1,Transit,13
small,Tundratown,32,34.4,0,0,85.72,23.7,0,1,Transit,8
medium,Rainforest,18,23.8,0,1,106.03,13.9,0.03,1,Transit,0
medium,Sahara Square,43,15.4,0,1,103.85,11.4,0.02,1,Transit,11
medium,Tundratown,18,23.9,0,1,88.26,12,0,1,Transit,1
medium,Rainforest,26,16.6,0,0,96.61,15.9,0,1,Walk,2
small,Downtown,18,30,0,0,105.79,13.5,0,1,Transit,2
medium,Tundratown,29,19,1,0,88.89,11.4,0,1,Transit,5
large,Sahara Square,34,25.3,0,0,77.33,23.4,0,1,Transit,1
medium,Sahara Square,24,32.8,1,0,85.12,46.5,0,1,Transit,1
large,Downtown,41,21.5,0,0,42.65,26.1,0,1,Transit,1
medium,Rainforest,18,5.1,0,0,63.17,4.8,0.41,1,Transit,3
large,Downtown,34,7.1,0,0,93.89,2.8,0.46,1,Walk,5
small,Rainforest,18,15.6,0,0,133.45,22.4,0,1,Personal,3
medium,Tundratown,28,20.5,1,1,109.43,5.4,0.28,1,Transit,24
small,Tundratown,18,6.5,1,0,99.12,8.1,0.07,1,Personal,6
large,Sahara Square,56,10.1,0,0,74.35,5.2,0.32,1,Transit,3
small,Downtown,51,36.1,1,1,113.15,17.9,0,1,Transit,47
large,Downtown,43,24.2,0,1,76.45,8.3,0.16,1,Transit,9
large,Rainforest,28,51.6,0,0,70.23,106.7,0,1,Transit,0
medium,Tundratown,44,12.3,0,1,96.06,10.7,0.08,1,Transit,41
medium,Tundratown,30,11.7,0,0,83.16,2.1,0.56,1,Personal,8
large,Sahara Square,34,27.7,1,0,74.72,19.7,0,1,Transit,3
medium,Rainforest,45,10.1,0,0,77.74,11.1,0.01,1,Personal,14
small,Tundratown,22,12.1,1,0,105.77,8.7,0.09,1,Personal,0
small,Tundratown,42,11.5,0,1,82.6,6.1,0.18,1,Walk,5
medium,Rainforest,32,16.9,1,0,101.75,26.6,0,1,Transit,1
medium,Tundratown,18,18,0,0,72.48,23.1,0,1,Walk,8
small,Rainforest,25,23.4,0,0,81.38,13.9,0,1,Personal,0
medium,Downtown,31,13.2,0,0,51.78,8.6,0.27,1,Transit,0
small,Sahara Square,34,79.4,0,0,37.69,149.4,0,1,Transit,0
medium,Rainforest,53,20,1,0,79.98,7.4,0.24,1,Transit,19
large,Downtown,43,38.6,0,1,47.19,13,0.01,1,Transit,7
small,Rainforest,26,16.8,0,0,60.09,13,0,1,Transit,0
medium,Tundratown,49,21.4,0,0,87.95,13.5,0,1,Walk,9
medium,Downtown,43,7.8,1,1,126.76,5.1,0.31,1,Personal,2
small,Tundratown,32,19.6,0,0,94.26,21.9,0,1,Transit,1
large,Tundratown,38,16.3,0,0,62.69,5.3,0.29,1,Transit,2
medium,Sahara Square,29,33.5,1,0,96.86,41.8,0,1,Transit,0
medium,Rainforest,27,13.3,1,1,99.99,11.9,0,1,Walk,0
small,Rainforest,47,35.4,1,0,113.85,42.3,0,1,Transit,2
medium,Rainforest,31,14.9,0,1,100.86,4,0.37,1,Walk,25
small,Sahara Square,40,30.9,0,0,92.93,15.8,0,1,Transit,2
large,Rainforest,55,12.5,0,0,86.3,7,0.22,1,Transit,8
medium,Tundratown,37,7.8,0,0,69.26,3.5,0.58,1,Fly,0
medium,Downtown,24,28.8,1,1,86.04,26.3,0,1,Fly,5
small,Rainforest,24,32.7,0,0,100.77,15.4,0,1,Transit,1
small,Downtown,44,22.7,0,0,44,12.3,0,1,Transit,3
small,Sahara Square,29,20.7,1,0,78.48,10.6,0.08,1,Transit,33
small,Rainforest,33,45.8,0,1,71.44,23.1,0,1,Transit,7
medium,Sahara Square,26,20.5,0,0,57.66,21.8,0,1,Transit,1
small,Rainforest,28,23.9,0,0,79.6,29.6,0,1,Fly,2
medium,Rainforest,38,43,0,1,61.58,29.2,0,1,Transit,16
medium,Sahara Square,37,44,0,0,70.26,77.5,0,1,Transit,0
large,Rainforest,48,21.9,0,0,74,28.2,0,1,Transit,9
large,Sahara Square,37,13,0,0,83.53,11.5,0.15,1,Transit,5
small,Rainforest,49,18.6,0,0,83.88,12.5,0,1,Transit,3
large,Rainforest,29,23.2,0,1,68.99,12.4,0,1,Transit,23
medium,Sahara Square,41,43.9,0,1,24.02,61.5,0,1,Transit,0
medium,Downtown,46,10.5,0,0,88.35,7.6,0.23,1,Transit,0
small,Tundratown,25,22.3,0,0,93.37,10.1,0.04,1,Transit,8
small,Rainforest,56,24.1,0,0,97.64,10.9,0.01,1,Walk,36
medium,Tundratown,46,16.5,0,1,77.29,12.9,0,1,Transit,0
medium,Downtown,45,34.2,0,0,24.31,25.5,0,1,Transit,2
small,Tundratown,29,13.4,0,0,125.27,8.3,0.12,1,Fly,1
small,Rainforest,33,28,0,0,65.05,14.4,0,1,Transit,5
large,Tundratown,23,29.2,1,1,104.86,30.9,0,1,Transit,3
medium,Sahara Square,33,26.3,0,0,64.3,30.2,0,1,Transit,0
small,Downtown,43,15.4,1,0,102.01,7.9,0.06,1,Transit,9
small,Tundratown,59,29.8,1,0,105.58,41.3,0,1,Transit,0
small,Downtown,28,18.7,1,0,102.94,10,0.01,1,Transit,4
large,Downtown,44,37.7,0,0,69.52,39,0,1,Transit,3
medium,Downtown,53,24.2,0,0,63.18,17.6,0,1,Transit,19
small,Tundratown,32,38.3,0,0,75.81,63.3,0,1,Transit,0
small,Downtown,56,69,0,0,65.94,105.8,0,1,Transit,0
large,Rainforest,39,5.1,0,1,81.48,4.2,0.46,1,Personal,18
small,Downtown,35,22.8,1,0,89.96,17.9,0,1,Transit,12
large,Downtown,38,5.7,1,0,62.19,7.4,0.06,1,Transit,20
medium,Downtown,32,10.4,0,1,104.03,6,0.2,1,Transit,13
small,Sahara Square,36,42.8,1,0,80.88,75.5,0,1,Transit,2
small,Tundratown,26,29.1,0,1,106.28,19.1,0,1,Transit,8
small,Sahara Square,26,49.7,0,0,65.23,100.4,0,1,Transit,0
large,Rainforest,29,28.5,0,0,42.85,23,0,1,Transit,5
large,Sahara Square,18,24.4,0,0,81.56,16.4,0,1,Transit,5
medium,Sahara Square,30,11.4,1,0,76,16.5,0,1,Transit,0
medium,Rainforest,63,21.3,0,0,110.9,15.4,0,1,Transit,5
large,Tundratown,35,77.7,0,1,12.24,239.6,0,1,Transit,0
small,Sahara Square,36,28.1,0,0,108.64,26.5,0,1,Transit,5
small,Downtown,28,16.5,0,0,55.58,11.3,0.01,1,Transit,16
large,Downtown,41,24.2,1,0,74.9,22.3,0,1,Transit,7
small,Sahara Square,38,61.5,0,1,87.07,152.1,0,1,Transit,0
large,Tundratown,18,21.9,0,0,57.71,13.9,0.02,1,Walk,0
medium,Rainforest,29,22.2,0,1,76.37,18.3,0,1,Transit,28
medium,Downtown,55,4.2,1,1,130.15,4.1,0.38,1,Fly,15
medium,Tundratown,27,18.5,1,0,104.36,27.9,0,1,Transit,3
large,Downtown,34,41,0,0,82.62,58.5,0,1,Transit,0
medium,Downtown,43,34.3,0,0,62.34,14.2,0,1,Transit,2
medium,Sahara Square,18,29.4,0,0,97.26,25.8,0,1,Transit,1
large,Downtown,44,22.8,0,0,54.72,14.2,0,1,Transit,18
large,Rainforest,31,15.4,1,0,92.27,22.7,0,1,Fly,0
medium,Sahara Square,37,48,0,1,83.52,35.4,0,1,Transit,0
large,Sahara Square,54,10.2,0,0,46.83,4.6,0.19,1,Personal,34
small,Tundratown,47,19.6,0,1,68.51,15.3,0,1,Transit,17
medium,Downtown,32,16.5,1,0,76.42,15.6,0.02,1,Personal,11
medium,Downtown,43,12.7,1,0,111.35,8.9,0.1,1,Walk,8
large,Tundratown,39,13,0,0,66.77,4.2,0.37,1,Transit,13
small,Tundratown,29,4.5,0,0,103.09,8.7,0.09,1,Fly,1
large,Sahara Square,19,63.3,0,0,13.33,139.5,0,1,Transit,0
medium,Rainforest,38,14.7,1,0,118.74,17.9,0,1,Transit,2
small,Tundratown,46,16.8,0,1,92.81,8.1,0.14,1,Transit,32
small,Tundratown,30,15.4,0,0,40.69,11.7,0,1,Transit,3
small,Downtown,37,12.4,0,0,55.41,7,0.25,1,Transit,18
medium,Rainforest,37,15.6,0,0,130.69,13.9,0,1,Personal,0
large,Tundratown,37,29.3,0,0,72.24,5.5,0.56,1,Transit,11
medium,Tundratown,45,26.9,0,0,143.32,22.7,0,1,Transit,2
small,Sahara Square,51,2.1,1,0,96.54,8.8,0.11,1,Walk,4
medium,Downtown,53,15.2,0,1,65.84,5.3,0.24,1,Transit,29
small,Rainforest,55,37.1,1,1,90.96,44,0,1,Transit,2
small,Rainforest,26,12.2,1,0,125.99,3.7,0.39,1,Transit,2
small,Rainforest,46,17.8,1,0,109.29,28.3,0,1,Fly,0
large,Downtown,41,6.3,1,0,84.23,10.7,0,1,Transit,9
large,Sahara Square,32,45.1,0,0,51.62,48.8,0,1,Transit,0
medium,Tundratown,46,8.2,0,0,119.41,4,0.26,1,Fly,11
small,Sahara Square,51,28.9,0,0,70.3,58.4,0,1,Personal,1
small,Rainforest,37,52.5,0,0,62.71,78.7,0,1,Transit,1
large,Rainforest,18,19.7,0,0,78.71,11.3,0.03,1,Personal,8
small,Tundratown,23,18.6,0,1,69.01,11.8,0.02,1,Transit,9
medium,Tundratown,46,14.6,0,0,56.45,10.2,0.03,1,Walk,8
medium,Tundratown,47,16.9,0,0,75.37,7.7,0.15,1,Transit,25
small,Rainforest,26,24.8,0,0,88.77,22,0,1,Transit,4
large,Downtown,36,9.8,0,0,104.7,7.9,0.05,1,Transit,1
medium,Downtown,35,5.9,0,0,83.29,7.5,0.12,1,Transit,12
medium,Sahara Square,38,10.9,0,0,85.47,5.7,0.28,1,Transit,11
medium,Tundratown,56,3.8,1,0,95.45,7.8,0.13,1,Fly,3
medium,Downtown,33,17.4,0,1,76.92,8.8,0.02,1,Transit,51
medium,Sahara Square,18,18.7,0,0,67.69,8.2,0.05,1,Personal,11
medium,Sahara Square,29,19.8,0,1,89.94,14.1,0,1,Personal,9
small,Sahara Square,39,11.2,0,0,61.02,8.4,0.01,1,Fly,5
large,Downtown,48,20,0,0,89.6,12.1,0,1,Fly,8
small,Downtown,48,17.5,0,1,111.48,8.7,0.24,1,Transit,10
small,Tundratown,58,30.5,1,0,86.34,24.3,0,1,Transit,1
small,Tundratown,18,15.2,1,1,115.76,7.6,0.16,1,Personal,1
small,Downtown,26,14,0,0,115.2,10.4,0.02,1,Transit,1
medium,Rainforest,47,9.1,0,1,86.8,3.6,0.43,1,Transit,35
medium,Sahara Square,31,19.5,0,1,76.81,16.3,0.01,1,Fly,2
medium,Sahara Square,21,20.9,0,0,59.82,11.8,0,1,Transit,1
medium,Rainforest,20,12.5,0,0,97.24,10.6,0.11,1,Walk,3
small,Downtown,50,16.4,1,0,134.19,17.3,0,1,Transit,1
small,Tundratown,44,13,0,0,78.34,10.4,0.09,1,Transit,17
large,Tundratown,53,10.8,0,0,85.08,7.6,0.08,1,Fly,35
medium,Tundratown,60,25.1,0,1,106.05,15.7,0.14,1,Transit,8
medium,Sahara Square,25,24.3,1,1,66.44,26.5,0,1,Transit,4
medium,Tundratown,42,7.2,0,0,112.59,10,0.05,1,Transit,15
small,Sahara Square,18,20,0,1,102.86,21.9,0,1,Personal,1
large,Sahara Square,36,13.4,1,0,77.95,16.6,0,1,Fly,0
medium,Tundratown,18,15.6,1,0,99.65,17.5,0,1,Transit,0
medium,Tundratown,59,46.5,0,0,74.77,50.4,0,1,Transit,2
large,Rainforest,48,26.8,0,0,21.7,11.4,0.01,1,Fly,37
small,Sahara Square,30,16.9,0,1,103.86,7.9,0.11,1,Personal,6
small,Rainforest,38,34.6,0,0,83.84,48.2,0,1,Transit,0
small,Downtown,22,22.8,0,0,76.09,14.8,0,1,Transit,8
large,Tundratown,31,49.9,1,0,87.72,100.1,0,1,Transit,0
small,Tundratown,19,40.2,0,0,54,51.9,0,1,Transit,2
small,Tundratown,47,12.3,0,1,129.7,7.9,0.11,1,Walk,11
small,Tundratown,36,12.8,1,0,122.88,12.2,0.08,1,Transit,7
small,Sahara Square,23,28.1,0,1,60.05,25.3,0,1,Transit,0
medium,Tundratown,18,41.6,0,1,79.04,26.9,0,1,Transit,7
large,Tundratown,51,18.3,0,1,94.53,17.7,0.01,1,Fly,20
medium,Downtown,40,22.6,1,0,82.94,14.3,0.02,1,Fly,4
large,Rainforest,50,20.9,0,1,85.31,21.2,0,1,Transit,7
small,Tundratown,26,26.9,0,1,59.27,18.7,0,1,Transit,4
medium,Tundratown,38,22.5,1,0,79.22,32,0,1,Transit,0
large,Sahara Square,23,22.2,1,0,83.73,36.7,0,1,Transit,0
large,Sahara Square,42,28.5,1,0,64.09,38.7,0,1,Transit,1
small,Downtown,35,38.8,1,1,51.7,29.5,0,1,Transit,2
medium,Tundratown,32,15.4,0,0,79.56,7.9,0.36,1,Personal,6
medium,Rainforest,41,23.9,0,0,95.76,11.3,0.04,1,Transit,2
large,Rainforest,37,5.2,0,0,46.67,6.7,0.08,1,Personal,8
medium,Rainforest,18,15.7,0,1,98.79,11.5,0.02,1,Fly,0
small,Downtown,36,8.7,0,0,89.88,8.5,0.02,1,Personal,8
medium,Downtown,28,41.6,0,0,89.32,16,0,1,Transit,2
medium,Rainforest,27,27.4,0,0,68.44,29.5,0,1,Fly,0
medium,Downtown,18,7.6,0,1,47.42,7.3,0.23,1,Transit,9
small,Rainforest,25,16.3,0,1,89.3,7,0.23,1,Transit,20
small,Downtown,28,11.1,0,0,111.02,11.8,0,1,Transit,16
small,Downtown,32,50.6,0,1,102.21,34.8,0,1,Transit,2
small,Downtown,26,5.4,0,1,120.05,5,0.29,1,Transit,0
medium,Sahara Square,40,15.5,0,0,83.27,15.2,0,1,Transit,12
medium,Tundratown,39,13.1,0,1,80.35,9.6,0.01,1,Personal,2
medium,Tundratown,65,30.2,0,1,43.71,22.8,0,1,Transit,7
medium,Tundratown,18,24.6,1,0,107.27,26.2,0,1,Transit,7
small,Rainforest,40,15.5,0,1,114.34,9.6,0.06,1,Transit,0
large,Tundratown,43,32.6,0,0,79.23,16,0,1,Transit,1
small,Tundratown,34,43.4,0,0,81.94,34.9,0,1,Transit,0
medium,Sahara Square,25,59.4,1,1,62.3,104.4,0,1,Transit,0
medium,Rainforest,38,19.3,1,0,106.3,21.5,0,1,Personal,3
medium,Downtown,22,39.4,0,0,55.71,33.1,0,1,Transit,0
large,Sahara Square,21,25.3,1,0,80.65,23.3,0,1,Transit,0
small,Rainforest,20,23.6,0,0,87.75,16.2,0,1,Transit,3
large,Downtown,38,3.8,1,1,103.11,7.7,0.05,1,Transit,11
small,Sahara Square,38,24.5,1,0,80.68,33.5,0,1,Transit,0
large,Tundratown,26,35.3,0,0,18.74,37.1,0,1,Transit,1
medium,Downtown,26,7.6,0,0,117.44,6.8,0.12,1,Transit,0
medium,Tundratown,28,22.1,0,0,83.92,16.8,0,1,Transit,5
small,Downtown,39,23.9,0,0,83.89,8.5,0.08,1,Transit,0
medium,Downtown,22,1.1,1,0,132.07,5.7,0.25,1,Transit,10
large,Downtown,44,16.6,1,0,56.49,5.5,0.24,1,Transit,18
small,Rainforest,36,28.3,1,1,101.31,19.8,0,1,Transit,0
medium,Sahara Square,31,3.8,0,0,88.31,6.9,0.21,1,Personal,30
large,Tundratown,24,6.8,0,0,77.59,12.7,0,1,Transit,3
small,Sahara Square,41,9.2,0,0,93.37,11.7,0.03,1,Transit,5
large,Downtown,18,17.9,0,0,82.83,12.3,0.07,1,Transit,11
medium,Downtown,30,4.9,0,1,93.99,3.9,0.48,1,Transit,5
small,Sahara Square,44,28.9,0,0,84.94,15.9,0,1,Transit,13
large,Downtown,53,29.9,0,1,97.81,11.1,0.04,1,Transit,31
medium,Downtown,39,29.3,0,1,76.08,21.5,0,1,Transit,0
small,Downtown,45,17.2,0,0,79.82,8.4,0.04,1,Transit,17
small,Tundratown,28,41.4,0,0,70.81,19.9,0,1,Transit,3
medium,Sahara Square,18,9.7,1,0,104.28,23.6,0,1,Transit,0
medium,Rainforest,19,25,0,1,106.69,10.7,0,1,Personal,1
small,Tundratown,18,9.8,0,0,127.14,8.5,0.02,1,Transit,7
large,Downtown,18,37.8,0,0,28.51,28,0,1,Transit,1
medium,Tundratown,30,23.8,1,0,126.31,22.3,0,1,Personal,4
small,Downtown,46,60.7,0,1,62.1,47.9,0,1,Transit,2
medium,Sahara Square,32,5.6,0,0,78.07,4.8,0.42,1,Transit,1
small,Sahara Square,32,17.7,1,1,128.18,20.2,0,1,Personal,2
medium,Tundratown,51,25.2,0,0,116.16,11.2,0.14,1,Transit,22
small,Tundratown,38,13.5,1,1,143.86,8.5,0.06,1,Transit,0
large,Sahara Square,40,15.3,0,0,85.49,7.1,0.14,1,Transit,6
small,Rainforest,48,15.5,0,0,95.32,11.2,0.01,1,Transit,6
medium,Rainforest,49,24.8,0,0,76.9,25.5,0,1,Transit,0
small,Tundratown,42,45.8,0,1,94.84,41.5,0,1,Transit,1
small,Sahara Square,18,16.2,0,0,92.11,10.5,0.02,1,Transit,4
large,Sahara Square,33,23.6,1,0,104.24,34.7,0,1,Fly,1
large,Rainforest,40,34,1,1,58.11,44.5,0,1,Transit,3
small,Rainforest,51,19.5,1,0,64.69,13,0,1,Personal,11
large,Rainforest,22,62.2,0,1,34.63,119.6,0,1,Transit,0
small,Sahara Square,18,48,1,0,67.74,75.4,0,1,Transit,0
small,Downtown,51,20.8,0,0,102.38,16,0.01,1,Transit,1
small,Sahara Square,49,11.7,0,1,76.98,11.2,0.01,1,Walk,6
medium,Sahara Square,48,28.3,0,0,102.25,22.9,0,1,Transit,0
medium,Sahara Square,36,12.5,0,0,82.81,7.3,0.18,1,Personal,7
medium,Tundratown,28,25,1,0,105.29,45.2,0,1,Walk,2
medium,Sahara Square,19,23.9,0,0,76.08,13.9,0.01,1,Transit,2
medium,Downtown,43,34.5,1,0,55.43,39.2,0,1,Transit,5
medium,Downtown,37,62.6,0,0,54.36,106.4,0,1,Transit,0
small,Tundratown,45,34.6,1,0,89.31,39.7,0,1,Transit,1
large,Sahara Square,44,22.4,0,0,104.84,29,0,1,Transit,2
small,Sahara Square,39,6.8,0,1,85.22,1.7,0.73,1,Personal,4
medium,Sahara Square,39,16.3,1,0,105.84,31.8,0,1,Walk,0
medium,Downtown,23,21.5,1,0,85.43,12,0,1,Transit,3
small,Downtown,27,26.6,0,0,36.63,37.9,0,1,Transit,0
medium,Tundratown,42,14.2,0,0,87.68,3.4,0.38,1,Personal,7
medium,Tundratown,35,14.6,1,1,116.96,13,0.07,1,Transit,20
medium,Sahara Square,27,6.3,0,0,115.05,7.7,0.21,1,Fly,4
large,Rainforest,22,19.2,1,0,88.48,15.5,0,1,Personal,3
small,Sahara Square,29,64.7,0,0,73.21,120.5,0,1,Transit,0
small,Downtown,49,3.1,0,0,66.06,4.5,0.35,1,Transit,2
large,Sahara Square,42,11.8,0,1,63.39,4.3,0.56,1,Transit,48
medium,Tundratown,34,16.9,0,0,80.38,8,0.14,1,Transit,3
small,Rainforest,51,11.6,1,0,118.74,7.8,0.05,1,Transit,5
medium,Sahara Square,26,12.9,0,1,89.01,17.1,0,1,Transit,4
medium,Sahara Square,18,20.8,0,0,75,10.9,0.01,1,Transit,1
small,Downtown,52,46.1,1,0,59.63,77.2,0,1,Transit,2
small,Downtown,20,27.3,0,0,92.41,13.2,0,1,Transit,2
medium,Sahara Square,34,8.7,1,1,120.39,10,0.05,1,Transit,6
medium,Downtown,31,16.1,0,0,57.32,13.5,0,1,Fly,3
large,Tundratown,45,10.1,1,0,114.97,22.3,0,1,Fly,3
large,Rainforest,50,34.9,0,1,87.03,21.2,0,1,Transit,6
large,Sahara Square,50,35.4,0,0,78.45,25.9,0,1,Transit,13
large,Tundratown,38,17.6,0,1,71.65,8.5,0.05,1,Transit,22
medium,Tundratown,27,23.5,1,0,73.16,12.5,0.11,1,Transit,1
medium,Tundratown,27,38.6,0,0,63.33,28.3,0,1,Transit,0
medium,Tundratown,35,9.3,1,0,95.96,9.8,0.05,1,Walk,28
small,Downtown,28,25.7,0,0,124.27,22.5,0,1,Transit,0
large,Downtown,18,28.1,1,0,73.43,15.6,0,1,Transit,11
medium,Rainforest,35,29.1,0,0,86.27,14,0.06,1,Fly,25
small,Tundratown,35,28.1,0,0,111.49,23.9,0,1,Transit,5
large,Sahara Square,44,25.3,1,0,89.12,34.3,0,1,Personal,6
medium,Rainforest,35,12.8,0,1,100.95,7.5,0.14,1,Transit,2
small,Sahara Square,32,5.4,0,0,93.21,5,0.37,1,Personal,8
small,Tundratown,23,15.8,1,0,123.56,8.9,0.18,1,Walk,3
medium,Rainforest,23,32,0,0,57.34,14,0,1,Transit,3
small,Rainforest,50,22.5,0,0,73.67,12.2,0,1,Personal,9
medium,Tundratown,30,6.2,0,1,128.34,3.7,0.49,1,Transit,10
medium,Downtown,74,47.9,1,0,96.56,49.3,0,1,Transit,0
medium,Rainforest,29,28.2,0,0,79.17,27.1,0,1,Transit,2
small,Rainforest,18,51.1,0,1,99.32,49.6,0,1,Transit,0
small,Tundratown,18,24.3,0,1,99.99,6.5,0.16,1,Transit,14
medium,Downtown,35,21.9,0,0,78.3,3.3,0.62,1,Transit,9
small,Downtown,42,17.7,1,0,113.02,13.6,0,1,Transit,1
large,Downtown,33,33.9,0,0,68.27,18.2,0,1,Transit,3
medium,Rainforest,45,48.1,0,1,48.3,56,0,1,Transit,4
large,Sahara Square,45,20.3,0,1,66.62,10.6,0.01,1,Personal,28
medium,Downtown,36,36.5,0,0,114.74,25.1,0,1,Transit,1
small,Sahara Square,37,43.7,0,1,83.95,74.1,0,1,Transit,2
medium,Tundratown,47,23.4,1,0,60.36,29,0,1,Transit,14
small,Downtown,45,27.2,0,0,93.71,12.7,0.02,1,Transit,4
small,Sahara Square,18,37.8,0,1,85.47,53.4,0,1,Transit,0
large,Downtown,40,11.9,0,1,111.13,9.5,0.09,1,Transit,2
medium,Tundratown,51,14.8,1,0,104.81,18.7,0,1,Transit,2
small,Rainforest,26,33.5,0,1,62.58,26.1,0,1,Transit,1
medium,Tundratown,35,19.5,0,0,40.72,14.8,0,1,Transit,5
small,Sahara Square,20,17.5,0,0,95.6,12.7,0.02,1,Transit,2
medium,Tundratown,27,34,0,0,70.58,8,0.1,1,Transit,2
large,Downtown,26,12.2,0,0,104.46,10.7,0,1,Fly,0
medium,Tundratown,23,14.8,0,0,103.77,10,0.03,1,Transit,3
medium,Tundratown,38,15,1,0,60.56,14.9,0,1,Personal,1
large,Rainforest,43,30.9,0,0,48.88,18.5,0,1,Walk,9
medium,Sahara Square,24,16.1,0,0,66.07,14.6,0,1,Transit,11
small,Rainforest,41,20.3,0,0,75.22,18.4,0,1,Fly,0
small,Sahara Square,51,20.2,0,1,71.71,22.7,0,1,Fly,3
small,Sahara Square,18,20.9,1,0,112.35,43.1,0,1,Transit,2
medium,Downtown,42,55.4,1,0,73.11,79.1,0,1,Transit,1
medium,Rainforest,33,11,0,0,108.77,17.3,0,1,Transit,2
